57% density burned,57% density edge reached,58% density burned,58% density edge reached,59% density burned,59% density edge reached,60% density burned,60% density edge reached
7.9,False,19.8,False,47.0,False,73.3,True
6.8,False,16.9,False,50.8,False,45.3,True
8.9,False,11.4,False,52.4,True,29.9,False
7.7,False,18.6,False,17.0,False,74.0,True
6.9,False,13.5,False,23.5,False,67.7,True
8.4,False,22.5,False,66.3,True,66.9,True
7.4,False,12.4,False,48.8,True,77.0,True
6.5,False,9.8,False,27.1,False,50.7,False
8.2,False,7.7,False,14.7,False,70.6,True
8.1,False,10.2,False,54.2,False,39.0,False
11.1,False,6.5,False,14.7,False,63.2,True
11.3,False,16.6,False,44.6,False,47.9,False
9.3,False,24.7,False,32.3,False,28.5,False
12.5,False,21.9,False,40.7,False,79.3,True
18.7,False,16.9,False,20.2,False,79.4,True
10.5,False,20.2,False,54.4,True,76.7,True
7.7,False,14.1,False,44.1,True,65.5,True
22,False,29.8,False,15.2,False,63.3,True
7.6,False,14.9,False,30.9,False,68.7,True
10.8,False,15.7,False,44.9,False,46.5,True
